tourney_name;match_num;winner_name;winner_hand;winner_ioc;loser_name;loser_hand;loser_ioc;winner_rank;winner_rank_points;loser_rank;loser_rank_points
Atp Cup;300;Novak Djokovic;R;SRB;Rafael Nadal;L;ESP;2;9055;1;9985
Atp Cup;299;Roberto Bautista Agut;R;ESP;Dusan Lajovic;R;SRB;10;2335;34;1251
Atp Cup;298;Novak Djokovic;R;SRB;Daniil Medvedev;R;RUS;2;9055;5;5705
Atp Cup;297;Dusan Lajovic;R;SRB;Karen Khachanov;R;RUS;34;1251;17;1840
Atp Cup;296;Rafael Nadal;L;ESP;Alex De Minaur;R;AUS;1;9985;18;1775
Atp Cup;295;Roberto Bautista Agut;R;ESP;Nick Kyrgios;R;AUS;10;2335;29;1375
Atp Cup;294;Novak Djokovic;R;SRB;Denis Shapovalov;L;CAN;2;9055;14;2050
Atp Cup;293;Dusan Lajovic;R;SRB;Felix Auger Aliassime;R;CAN;34;1251;21;1636
Atp Cup;292;Daniil Medvedev;R;RUS;Diego Schwartzman;R;ARG;5;5705;13;2125
Atp Cup;291;Karen Khachanov;R;RUS;Guido Pella;L;ARG;17;1840;25;1530
Atp Cup;290;Daniel Evans;R;GBR;Alex De Minaur;R;AUS;42;1124;18;1775
Atp Cup;289;Nick Kyrgios;R;AUS;Cameron Norrie;L;GBR;29;1375;52;975
Atp Cup;288;David Goffin;R;BEL;Rafael Nadal;L;ESP;11;2335;1;9985
Atp Cup;287;Roberto Bautista Agut;R;ESP;Kimmer Coppejans;R;BEL;10;2335;158;328
Atp Cup;286;Novak Djokovic;R;SRB;Gael Monfils;R;FRA;2;9055;9;2530
Atp Cup;285;Benoit Paire;R;FRA;Dusan Lajovic;R;SRB;24;1538;34;1251
Atp Cup;284;Novak Djokovic;R;SRB;Kevin Anderson;R;RSA;2;9055;147;360
Atp Cup;283;Dusan Lajovic;R;SRB;Lloyd Harris;R;RSA;34;1251;99;569
Atp Cup;282;Novak Djokovic;R;SRB;Christian Garin;R;CHI;2;9055;33;1291
Atp Cup;281;Dusan Lajovic;R;SRB;Nicolas Jarry;R;CHI;34;1251;77;675
Atp Cup;280;Kevin Anderson;R;RSA;Benoit Paire;R;FRA;147;360;24;1538
Atp Cup;279;Gilles Simon;R;FRA;Lloyd Harris;R;RSA;57;910;99;569
